route_id,service_id,trip_id,direction_id,shape_id
6612,3,14672431,0,307254
6612,3,14672432,0,307254
6612,3,14672433,0,307254
6612,3,14672434,0,307254
6612,3,14672435,0,307254
6612,3,14672436,0,307254
6612,3,14672437,0,307254
6612,3,14672438,0,307254
6612,3,14672439,0,307254
6612,3,14672440,0,307254
6612,3,14672441,0,307254
6612,3,14672442,0,307254
6612,3,14672443,0,307254
6612,3,14672444,0,307254
6612,3,14672445,0,307253
6612,3,14672446,0,307254
6612,3,14672447,0,307253
6612,3,14672448,0,307254
6612,3,14672449,0,307253
6612,3,14672450,0,307254
6612,3,14672451,0,307253
6612,3,14672452,0,307254
6612,3,14672453,0,307253
6612,3,14672454,0,307254
6612,3,14672455,0,307253
6612,3,14672456,0,307254
6612,3,14672457,0,307253
6612,3,14672458,0,307254
6612,3,14672459,0,307253
6612,3,14672460,0,307254
6612,3,14672461,0,307254
6612,3,14672462,0,307253
6612,3,14672463,0,307254
6612,3,14672464,0,307253
6612,3,14672465,0,307254
6612,3,14672466,0,307254
6612,3,14672467,0,307253
6612,3,14672468,0,307254
6612,3,14672469,0,307253
6612,3,14672470,0,307254
6612,3,14672471,0,307253
6612,3,14672472,0,307254
6612,3,14672473,0,307253
6612,3,14672474,0,307254
6612,3,14672475,0,307253
6612,3,14672476,0,307254
6612,3,14672477,0,307253
6612,3,14672478,0,307254
6612,3,14672479,0,307253
6612,3,14672480,0,307254
6612,3,14672481,0,307253
6612,3,14672482,0,307254
6612,3,14672483,0,307253
6612,3,14672484,0,307254
6612,3,14672485,0,307253
6612,3,14672486,0,307254
6612,3,14672487,0,307253
6612,3,14672488,0,307254
6612,3,14672489,0,307253
6612,3,14672490,0,307254
6612,3,14672491,0,307253
6612,3,14672492,0,307254
6612,3,14672493,0,307253
6612,3,14672494,0,307254
6612,3,14672495,0,307253
6612,3,14672496,0,307254
6612,3,14672497,0,307254
6612,3,14672498,0,307254
6612,3,14672499,0,307254
6612,3,14672500,0,307254
6612,3,14672501,0,307254
6612,3,14672502,0,307254
6612,3,14672503,0,307254
6612,3,14672504,0,307254
6612,3,14672505,0,307254
6612,3,14672506,0,307254
6612,3,14672507,0,307254
6612,3,14672508,0,307254
6612,3,14672509,0,307254
6612,3,14672510,0,307254
6612,3,14672511,0,307254
6612,3,14672512,0,307254
6612,3,14672513,0,307254
6612,3,14672514,0,307254
6612,3,14672515,0,307254
6612,3,14672516,0,307254
6612,3,14672517,0,307254
6612,3,14672518,0,307254
6612,3,14672519,0,307254
6612,3,14672520,0,307254
6612,3,14672521,0,307254
6612,3,14672522,0,307254
6612,3,14672523,0,307254
6612,3,14672524,1,307256
6612,3,14672525,1,307256
6612,3,14672526,1,307256
6612,3,14672527,1,307256
6612,3,14672528,1,307256
6612,3,14672529,1,307256
6612,3,14672530,1,307256
6612,3,14672531,1,307256
6612,3,14672532,1,307256
6612,3,14672533,1,307255
6612,3,14672534,1,307256
6612,3,14672535,1,307255
6612,3,14672536,1,307256
6612,3,14672537,1,307255
6612,3,14672538,1,307256
6612,3,14672539,1,307255
6612,3,14672540,1,307256
6612,3,14672541,1,307255
6612,3,14672542,1,307256
6612,3,14672543,1,307255
6612,3,14672544,1,307256
6612,3,14672545,1,307255
6612,3,14672546,1,307256
6612,3,14672547,1,307255
6612,3,14672548,1,307256
6612,3,14672549,1,307255
6612,3,14672550,1,307256
6612,3,14672551,1,307255
6612,3,14672552,1,307256
6612,3,14672553,1,307255
6612,3,14672554,1,307256
6612,3,14672555,1,307255
6612,3,14672556,1,307256
6612,3,14672557,1,307255
6612,3,14672558,1,307256
6612,3,14672559,1,307255
6612,3,14672560,1,307256
6612,3,14672561,1,307255
6612,3,14672562,1,307256
6612,3,14672563,1,307255
6612,3,14672564,1,307256
6612,3,14672565,1,307255
6612,3,14672566,1,307256
6612,3,14672567,1,307255
6612,3,14672568,1,307256
6612,3,14672569,1,307255
6612,3,14672570,1,307256
6612,3,14672571,1,307255
6612,3,14672572,1,307256
6612,3,14672573,1,307255
