Route,Stop,Time Period,Avg Headway,Std Headway,Min Headway,Max Headway,Count,Bunching Rate %
791,Eastbound United Blvd @ Leeder St,Midday,2.533333333333333,,2.533333333333333,2.533333333333333,1,100.0
791,Pitt Meadows Station @ Bay 2,Midday,2.5,,2.5,2.5,1,100.0
351,Southbound Hwy 99 Onramp @ Steveston Hwy,Night,0.3,,0.3,0.3,1,100.0
791,Eastbound Lougheed Hwy @ Woolridge Connector,Midday,2.466666666666667,,2.466666666666667,2.466666666666667,1,100.0
791,Eastbound United Blvd @ Fawcett,Midday,2.533333333333333,,2.533333333333333,2.533333333333333,1,100.0
791,Eastbound United Blvd @ Clipper St,Midday,2.466666666666667,,2.466666666666667,2.466666666666667,1,100.0
791,Eastbound United Blvd @ Burbidge St,Midday,2.5166666666666666,,2.5166666666666666,2.5166666666666666,1,100.0
412,Westbound Bridgeport Rd @ Smith St,Midday,1.0,,1.0,1.0,1,100.0
791,Eastbound Brunette Ave @ Bernatchey St,Midday,2.55,,2.55,2.55,1,100.0
791,Eastbound Brunette Ave @ Blue Mountain St,Midday,2.4833333333333334,,2.4833333333333334,2.4833333333333334,1,100.0
791,Eastbound United Blvd @ Brigantine Dr,Midday,2.466666666666667,,2.466666666666667,2.466666666666667,1,100.0
791,Eastbound Hammond Rd @ Albertan St,Midday,0.8666666666666667,1.118696331218388,0.08333333333333333,2.4833333333333334,4,100.0
791,Eastbound Hammond Rd @ Blakely Rd,Midday,0.9208333333333334,1.0768932510114797,0.08333333333333333,2.4833333333333334,4,100.0
791,Eastbound Hammond Rd @ Bonson Rd,Midday,0.9208333333333334,1.0768932510114797,0.08333333333333333,2.4833333333333334,4,100.0
791,Eastbound Hammond Rd @ Harris Rd,Midday,1.3444444444444443,1.0007404665953512,0.7666666666666667,2.5,3,100.0
791,Eastbound Hammond Rd @ Wildwood Cres,Midday,0.9208333333333334,1.0768932510114797,0.08333333333333333,2.4833333333333334,4,100.0
791,Eastbound Lougheed Hwy @ Kennedy Rd,Midday,2.5166666666666666,,2.5166666666666666,2.5166666666666666,1,100.0
791,Eastbound United Blvd @ Schooner St,Midday,2.533333333333333,,2.533333333333333,2.533333333333333,1,100.0
791,Eastbound Lougheed Hwy @ Woolridge St,Midday,2.4166666666666665,,2.4166666666666665,2.4166666666666665,1,100.0
791,Southbound Harris Rd @ 119 Ave,Midday,1.625,1.2374368670764582,0.75,2.5,2,100.0
791,Southbound Harris Rd @ Davison Rd,Midday,2.5166666666666666,,2.5166666666666666,2.5166666666666666,1,100.0
005,Westbound W Pender St @ Granville St,Night,0.6833333333333333,,0.6833333333333333,0.6833333333333333,1,100.0
005,Westbound W Pender St @ Hamilton St,Night,0.9833333333333333,,0.9833333333333333,0.9833333333333333,1,100.0
005,Westbound W Pender St @ Howe St,Night,0.6833333333333333,,0.6833333333333333,0.6833333333333333,1,100.0
791,Southbound Harris Rd @ McMyn Rd,Midday,2.5166666666666666,,2.5166666666666666,2.5166666666666666,1,100.0
005,Westbound W Pender St @ Seymour St,Night,0.75,,0.75,0.75,1,100.0
791,Southbound Harris Rd @ Civic Centre,Midday,2.5,,2.5,2.5,1,100.0
099,Westbound University Blvd @ Western Parkway,Morning Rush,0.14630208333333333,0.32150005278152477,0.016666666666666666,4.233333333333333,320,99.6875
099,Eastbound E Broadway @ Clark Dr,Midday,0.3818407960199005,0.9338409245182718,0.016666666666666666,7.983333333333333,201,97.51243781094527
099,Westbound University Blvd @ Western Parkway,Midday,0.43722222222222223,0.8672104675372884,0.016666666666666666,4.283333333333333,90,96.66666666666667
099,Eastbound E Broadway  @ Fraser St,Midday,0.4548689138576779,1.0364275471830597,0.016666666666666666,7.983333333333333,178,96.62921348314607
099,Eastbound E Broadway @ Kingsway,Midday,0.49847560975609756,1.0848837639439648,0.016666666666666666,7.966666666666667,164,96.34146341463415
099,Eastbound E Broadway @ Kingsway,Morning Rush,0.5115384615384615,1.7953741328492467,0.016666666666666666,19.966666666666665,182,96.15384615384616
099,Broadway-City Hall Station @ Bay 1,Morning Rush,0.6227272727272728,1.9706108838535727,0.016666666666666666,19.5,154,96.1038961038961
099,Eastbound E Broadway  @ Fraser St,Morning Rush,0.5124113475177304,1.8090515403820988,0.016666666666666666,20.0,188,95.74468085106383
099,Westbound W 10 Ave @ Sasamat St,Morning Rush,0.5309680968096809,2.033568748741699,0.016666666666666666,20.116666666666667,303,95.7095709570957
099,Eastbound E Broadway @ Clark Dr,Morning Rush,0.5065412186379928,1.8140278998446968,0.016666666666666666,20.0,186,95.6989247311828
099,Southbound Alma St @ W 10 Ave,Morning Rush,0.6036900369003689,2.1629318988447794,0.016666666666666666,20.0,271,95.5719557195572
099,Broadway-City Hall Station @ Bay 1,Midday,0.5859649122807018,1.1934741926791612,0.016666666666666666,7.983333333333333,133,95.48872180451127
099,Eastbound W Broadway @ Heather St,Midday,0.6034883720930232,1.2236611774360102,0.016666666666666666,7.95,129,95.34883720930233
006,Southbound Cambie St @ Robson St,Midday,1.1825396825396826,1.7050377785551165,0.03333333333333333,10.3,42,95.23809523809523
006,Southbound Cambie St @ Nelson St,Midday,1.1666666666666667,1.6724817254461166,0.03333333333333333,10.2,42,95.23809523809523
222,Northbound Willingdon Ave @ Goard Way,Morning Rush,0.9041666666666666,1.0752787616263415,0.08333333333333333,4.466666666666667,20,95.0
099,Westbound W Broadway @ Macdonald St,Morning Rush,0.6884722222222222,2.3193827789484875,0.016666666666666666,19.966666666666665,240,95.0
