Route,From Stop,To Stop,Time Period,Avg Delay (min),Std Delay,Sample Count,Speed Reduction %
402,Richmond-Brighouse Station @ Bay 1,Southbound No. 3 Rd @ Cook Rd,Morning Rush,0.325,0.12963624321753373,2,35.137371731214834
251,Northbound 17 St @ Esquimalt Ave,Eastbound Fulton Ave @ 15 St,Midday,0.32499999999999996,0.05892556509887897,2,33.78787878787878
144,Northbound Nelson Ave @ Newton St,Eastbound Dover St @ Nelson Ave,Morning Rush,0.3242424242424242,0.5691789230678227,11,9.762572072530038
016,Eastbound E Hastings St @ Kaslo St,Southbound Renfrew St @ E Hastings St,Midday,0.32416666666666666,0.38061488417885014,20,23.871418157149243
640,Eastbound Grace Rd @ 10200 Block,Eastbound 103A Ave @ Grace Rd,Midday,0.3240740740740741,0.30001285980668013,9,35.073330231785
148,Westbound Rumble St @ Royal Oak Ave,Southbound Nelson Ave @ Rumble St,Morning Rush,0.32407407407407407,0.3396394239065968,9,22.54333674633217
406,Westbound Granville Ave @ Moffatt Rd,Westbound Granville Ave @ Gilbert Rd,Morning Rush,0.32395833333333335,0.31569844671657676,16,28.217743807830004
026,Southbound Matheson Cres @ Chickadee Place,Westbound Champlain Cres @ Matheson Cres,Midday,0.3238095238095238,0.37698329156131327,7,19.29454553306612
323,Westbound 104 Ave @ University Dr,Westbound 104 Ave @ 133 St,Morning Rush,0.3236842105263158,2.3394055630787927,19,-57.664061268176
502,Eastbound Fraser Hwy @ 194 St,Eastbound Fraser Hwy @ 196 St,Midday,0.3236111111111111,0.43753547234743095,12,6.955399287360383
022,Southbound Knight St @ E 45 Ave,Southbound Knight St @ E 47 Ave,Morning Rush,0.3234848484848485,0.6315693707977534,22,2.376901368748835
640,Northbound 72 St @ Vantage Way,Westbound River Rd @ Hopcott Rd,Midday,0.32333333333333336,0.025276251480171822,5,49.17876304269115
049,Westbound E 49 Ave @ Fleming St,Westbound E 49 Ave @ Knight St,Midday,0.32333333333333336,0.2737224444728403,20,21.26462155810169
211,Eastbound W Pender St @ Burrard St,Eastbound W Pender St @ Granville St,Midday,0.32333333333333336,0.3768657291102201,5,22.062770142236264
028,Southbound Smith Ave @ Fir St,Southbound Smith Ave @ Moscrop St,Morning Rush,0.3230769230769231,0.2586949495507729,13,28.344195836535594
028,Northbound Smith Ave @ Avondale St,Northbound Smith Ave @ Linwood St,Midday,0.3229166666666667,0.3567865285911549,8,35.86254135649297
020,Westbound Robson St @ Granville St,Northbound Granville St @ W Georgia St,Morning Rush,0.3228070175438596,0.2600575984583404,19,25.609841575303843
123,Northbound 8th St @ Royal Ave,Northbound 8th St @ Queens Ave,Morning Rush,0.32261904761904764,0.46664867835555796,14,14.241661798747169
407,Westbound Vulcan Way @ 12200 Block,Southbound No. 5 Rd @ Vulcan Way,Morning Rush,0.32222222222222224,0.3056565489661982,3,27.84265418411759
019,Eastbound W Pender St @ Thurlow St,Eastbound W Pender St @ Burrard St,Midday,0.32222222222222224,0.47236109069227966,9,18.094673056714363
255,Park Royal @ Bay 5,Eastbound Marine Dr @ Capilano Rd,Morning Rush,0.32222222222222224,0.928078642319694,12,3.7776859244425904
157,Westbound Brunette Ave @ Lebleu St,Westbound Brunette Ave @ Lougheed Hwy,Midday,0.3222222222222222,0.03751542892474253,6,33.76056693443243
N19,Eastbound Kingsway @ Griffiths Dr,Eastbound Kingsway @ Salisbury Ave,Morning Rush,0.3222222222222222,0.009622504486493764,3,38.43799058084773
319,Southbound Scott Rd @ 86 Ave,Southbound Scott Rd @ 84 Ave,Midday,0.3222222222222222,0.3686499393432444,9,18.601099254600065
033,Northbound Wesbrook Mall @ 2900 Block,Northbound Wesbrook Mall @ Thunderbird Blvd,Midday,0.3217948717948718,0.24892217802407787,13,21.543808631909897
364,Eastbound 64 Ave @ 202 St,Eastbound 64 Ave @ 203 St,Morning Rush,0.3217948717948718,0.7878235553827737,13,18.411464864169712
049,Westbound Imperial St @ McKay Ave,Westbound Imperial St @ Patterson Ave,Morning Rush,0.3217592592592593,0.4243168074521909,36,21.013167737277442
503,Westbound Fraser Hwy @ 48 Ave,Westbound Fraser Hwy @ 222 St,Morning Rush,0.32166666666666666,0.2746546653257235,10,24.335988160110038
503,Westbound Fraser Hwy @ 166 St,Westbound Fraser Hwy @ 164 St,Midday,0.32142857142857145,0.4082707210724052,14,13.96938322444774
609,Westbound Ladner Trunk Rd @ Harvest Dr,Westbound Ladner Trunk Rd @ 57 St,Morning Rush,0.32142857142857145,0.3907156640816057,7,41.50177462289264
033,Northbound Cambie St @ W 29 Ave,King Edward Station @ Bay 2,Morning Rush,0.32142857142857145,0.7572280920531035,14,6.952259352568674
531,Eastbound 24 Ave @ 152 St,Eastbound 24 Ave @ 154 St,Morning Rush,0.3212121212121212,0.5218605022785148,11,11.068660712154697
402,Westbound Blundell Rd @ 6300 Block,Westbound Blundell Rd @ Cheviot Place,Midday,0.3208333333333333,0.4323439560075939,4,24.90207598903251
